PlateID,PP#,ExpectedPeak1,ExpectedPeak2,Tollerance,Gene,FirstWell,LastWell,well#,PotentialPeak1_Search1_S,PotentialPeak1_Search1_H,PotentialPeak1_Search2_S,PotentialPeak1_Search2_H,PotentialPeak2_Search1_S,PotentialPeak2_Search1_H,PotentialPeak2_Search2_S,PotentialPeak2_Search2_H,HighestPeak_S,HighestPeak_S,HighestPeak_H,SecondHighestPeak_S,SecondHighestPeak_H,TotNumbPeaks
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F9,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H12,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A1,140.9,105.0,140.9,105.0,179.47,186.0,196.19,180.0,303.45,303.45,242.0,365.12,195.0,22
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D1,140.87,69.0,140.87,69.0,196.18,108.0,196.18,108.0,196.18,196.18,108.0,140.87,69.0,4
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D6,140.92,250.0,125.37,54.0,196.32,457.0,196.32,457.0,196.32,196.32,457.0,303.5,253.0,23
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F3,140.91,67.0,140.91,67.0,196.28,116.0,196.28,116.0,196.28,196.28,116.0,140.91,67.0,5
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B6,143.36,166.0,141.0,145.0,196.26,345.0,196.26,345.0,365.44,365.44,379.0,196.26,345.0,29
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G6,140.95,70.0,140.95,70.0,196.34,81.0,196.34,81.0,196.34,196.34,81.0,140.95,70.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D10,140.99,85.0,140.99,85.0,196.37,115.0,196.37,115.0,196.37,196.37,115.0,140.99,85.0,5
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C4,141.0,201.0,141.0,201.0,196.35,263.0,196.35,263.0,196.35,196.35,263.0,580.61,219.0,20
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E12,not found,1,not found,1,196.28,56.0,196.28,56.0,196.28,196.28,56.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B10,not found,1,not found,1,196.28,58.0,196.28,58.0,196.28,196.28,58.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F12,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F6,not found,1,not found,1,not found,1,not found,1,284.43,284.43,74.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D8,141.0,50.0,141.0,50.0,196.42,85.0,196.42,85.0,103.89,103.89,109.0,255.45,97.0,6
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C8,not found,1,not found,1,196.42,125.0,196.42,125.0,196.42,196.42,125.0,103.93,55.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E8,not found,1,not found,1,196.31,124.0,196.31,124.0,196.31,196.31,124.0,365.36,82.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D4,141.09,91.0,141.09,91.0,196.34,157.0,196.34,157.0,196.34,196.34,157.0,141.09,91.0,6
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B5,141.01,203.0,141.01,203.0,196.33,299.0,196.33,299.0,196.33,196.33,299.0,141.01,203.0,14
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B2,140.9,77.0,140.9,77.0,196.3,273.0,196.3,273.0,196.3,196.3,273.0,303.5,107.0,12
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D12,141.0,75.0,141.0,75.0,196.28,79.0,196.28,79.0,196.28,196.28,79.0,141.0,75.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A5,143.36,138.0,140.91,89.0,179.38,261.0,196.36,207.0,179.38,179.38,261.0,196.36,207.0,19
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E2,140.82,111.0,140.82,111.0,196.28,225.0,196.28,225.0,196.28,196.28,225.0,303.46,159.0,15
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H1,140.9,51.0,140.9,51.0,196.15,50.0,196.15,50.0,140.9,140.9,51.0,196.15,50.0,2
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B1,143.24,74.0,143.24,74.0,179.3,127.0,196.21,108.0,179.3,179.3,127.0,365.17,109.0,11
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E4,141.0,176.0,141.0,176.0,196.34,239.0,196.34,239.0,196.34,196.34,239.0,255.5,190.0,13
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E11,140.91,59.0,140.91,59.0,196.26,131.0,196.26,131.0,196.26,196.26,131.0,140.91,59.0,2
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E3,not found,1,not found,1,196.25,67.0,196.25,67.0,196.25,196.25,67.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H3,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C7,not found,1,not found,1,196.32,71.0,196.32,71.0,196.32,196.32,71.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H5,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C9,143.29,59.0,143.29,59.0,196.29,96.0,196.29,96.0,196.29,196.29,96.0,179.4,87.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G3,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D5,141.01,360.0,127.89,87.0,196.32,542.0,196.32,542.0,196.32,196.32,542.0,141.01,360.0,25
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B12,not found,1,not found,1,196.22,82.0,196.22,82.0,196.22,196.22,82.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F4,140.92,88.0,140.92,88.0,196.34,130.0,196.34,130.0,196.34,196.34,130.0,140.92,88.0,5
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G5,141.0,85.0,141.0,85.0,196.36,125.0,196.36,125.0,196.36,196.36,125.0,141.0,85.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B3,141.01,119.0,141.01,119.0,196.32,298.0,196.32,298.0,196.32,196.32,298.0,179.37,185.0,19
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F1,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A11,not found,1,not found,1,196.24,70.0,196.24,70.0,196.24,196.24,70.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A9,140.91,53.0,140.91,53.0,196.26,116.0,196.26,116.0,196.26,196.26,116.0,580.4,69.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D3,140.99,157.0,140.99,157.0,196.3,253.0,196.3,253.0,196.3,196.3,253.0,179.47,194.0,21
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G12,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A12,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G9,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C3,143.35,154.0,140.95,142.0,179.41,268.0,196.32,259.0,179.41,179.41,268.0,196.32,259.0,21
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E7,143.39,89.0,143.39,89.0,179.37,236.0,196.32,88.0,179.37,179.37,236.0,300.42,169.0,17
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A3,143.36,214.0,141.0,122.0,179.38,286.0,196.26,277.0,300.42,300.42,317.0,179.38,286.0,29
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C10,143.3,68.0,140.92,55.0,196.32,115.0,196.32,115.0,196.32,196.32,115.0,143.3,68.0,5
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C6,141.0,84.0,141.0,84.0,196.35,180.0,196.35,180.0,196.35,196.35,180.0,303.56,106.0,15
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C5,143.39,114.0,140.92,85.0,179.37,339.0,196.32,215.0,179.37,179.37,339.0,365.34,277.0,29
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A6,143.29,143.0,140.91,90.0,196.34,208.0,196.34,208.0,196.34,196.34,208.0,300.42,207.0,17
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H4,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D11,140.91,66.0,140.91,66.0,196.28,76.0,196.28,76.0,196.28,196.28,76.0,140.91,66.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H2,not found,1,not found,1,196.21,56.0,196.21,56.0,196.21,196.21,56.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A8,143.26,56.0,143.26,56.0,196.39,77.0,196.39,77.0,196.39,196.39,77.0,143.26,56.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E1,140.8,50.0,140.8,50.0,196.16,110.0,196.16,110.0,196.16,196.16,110.0,179.39,54.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F5,140.92,84.0,140.92,84.0,196.33,166.0,196.33,166.0,196.33,196.33,166.0,140.92,84.0,5
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H6,not found,1,not found,1,196.4,53.0,196.4,53.0,196.4,196.4,53.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D2,140.91,107.0,140.91,107.0,196.28,179.0,196.28,179.0,196.28,196.28,179.0,140.91,107.0,8
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,H9,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A10,not found,1,not found,1,196.18,82.0,196.18,82.0,196.18,196.18,82.0,160.27,54.0,2
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C1,140.81,79.0,140.81,79.0,179.3,137.0,196.21,135.0,179.3,179.3,137.0,196.21,135.0,12
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A4,143.36,182.0,141.0,166.0,196.35,317.0,196.35,317.0,196.35,196.35,317.0,300.42,294.0,26
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C12,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B4,141.0,180.0,141.0,180.0,196.34,238.0,196.34,238.0,196.34,196.34,238.0,141.0,180.0,11
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C2,141.07,54.0,141.07,54.0,196.35,94.0,196.35,94.0,196.35,196.35,94.0,255.31,55.0,4
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G2,not found,1,not found,1,196.31,51.0,196.31,51.0,196.31,196.31,51.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F11,not found,1,not found,1,196.31,50.0,196.31,50.0,196.31,196.31,50.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B8,not found,1,not found,1,196.28,106.0,196.28,106.0,196.28,196.28,106.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A7,not found,1,not found,1,196.28,123.0,196.28,123.0,196.28,196.28,123.0,101.61,53.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D7,141.0,291.0,131.54,68.0,196.28,290.0,196.28,290.0,141.0,141.0,291.0,196.28,290.0,18
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E5,140.92,58.0,140.92,58.0,196.34,84.0,196.34,84.0,196.34,196.34,84.0,140.92,58.0,2
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G1,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G4,not found,1,not found,1,196.35,62.0,196.35,62.0,196.35,196.35,62.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B7,141.0,55.0,141.0,55.0,196.35,167.0,196.35,167.0,196.35,196.35,167.0,141.0,55.0,2
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C11,140.9,56.0,140.9,56.0,196.3,167.0,196.3,167.0,196.3,196.3,167.0,156.48,98.0,7
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A2,143.33,143.0,140.99,106.0,196.3,285.0,196.3,285.0,196.3,196.3,285.0,143.33,143.0,16
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F2,140.9,61.0,140.9,61.0,196.32,97.0,196.32,97.0,196.32,196.32,97.0,255.31,63.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B9,140.91,71.0,140.91,71.0,196.26,177.0,196.26,177.0,196.26,196.26,177.0,140.91,71.0,5
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D9,140.91,71.0,140.91,71.0,196.34,64.0,196.34,64.0,140.91,140.91,71.0,196.34,64.0,2
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E6,141.0,178.0,125.57,55.0,179.38,358.0,196.35,357.0,179.38,179.38,358.0,196.35,357.0,33
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E9,not found,1,not found,1,196.36,81.0,196.36,81.0,196.36,196.36,81.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B2,143.96,106.0,143.96,106.0,not found,1,not found,1,143.96,143.96,106.0,688.92,94.0,8
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A7,143.98,55.0,143.98,55.0,not found,1,not found,1,143.98,143.98,55.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E3,143.92,115.0,143.92,115.0,not found,1,not found,1,143.92,143.92,115.0,210.83,67.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C10,143.85,61.0,143.85,61.0,not found,1,not found,1,143.85,143.85,61.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A4,143.9,58.0,143.9,58.0,not found,1,not found,1,143.9,143.9,58.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F12,111.4,138.0,129.27,135.0,147.24,116.0,165.36,97.0,111.4,111.4,138.0,129.27,135.0,6
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G4,143.98,85.0,143.98,85.0,not found,1,not found,1,143.98,143.98,85.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C12,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D11,not found,1,not found,1,not found,1,not found,1,689.69,689.69,55.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E5,not found,1,not found,1,not found,1,not found,1,689.95,689.95,50.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,H9,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,H2,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,H6,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A1,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F1,143.92,96.0,143.92,96.0,not found,1,not found,1,143.92,143.92,96.0,279.13,86.0,5
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F4,143.92,126.0,143.92,126.0,not found,1,not found,1,143.92,143.92,126.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A12,not found,1,not found,1,not found,1,not found,1,284.9,284.9,267.0,1,1,3
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C5,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B7,not found,1,not found,1,not found,1,not found,1,689.48,689.48,67.0,408.02,56.0,3
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D4,143.92,137.0,143.92,137.0,not found,1,not found,1,143.92,143.92,137.0,210.82,86.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F2,144.01,74.0,144.01,74.0,144.01,74.0,144.01,74.0,144.01,144.01,74.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E9,111.45,502.0,129.36,498.0,147.34,462.0,165.5,415.0,111.45,111.45,502.0,129.36,498.0,20
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A5,143.98,138.0,143.98,138.0,not found,1,not found,1,143.98,143.98,138.0,210.86,70.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C4,144.0,104.0,144.0,104.0,not found,1,not found,1,144.0,144.0,104.0,210.84,51.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D6,143.96,52.0,143.96,52.0,not found,1,not found,1,688.99,688.99,87.0,143.96,52.0,3
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E2,143.89,113.0,143.89,113.0,not found,1,not found,1,143.89,143.89,113.0,210.78,64.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B9,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A3,143.88,180.0,143.88,180.0,180.18,55.0,180.18,55.0,143.88,143.88,180.0,210.84,111.0,5
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G1,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C3,143.94,58.0,143.94,58.0,not found,1,not found,1,143.94,143.94,58.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C1,143.83,80.0,143.83,80.0,not found,1,not found,1,143.83,143.83,80.0,278.95,55.0,4
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F7,143.94,72.0,143.94,72.0,not found,1,not found,1,143.94,143.94,72.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B4,143.92,144.0,143.92,144.0,not found,1,not found,1,143.92,143.92,144.0,210.74,104.0,4
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C6,143.99,83.0,143.99,83.0,not found,1,not found,1,143.99,143.99,83.0,210.84,54.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G5,143.97,88.0,143.97,88.0,not found,1,not found,1,143.97,143.97,88.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
